Rank,Company,Webpage,Location,Year end,Annual sales rise over 3 years,Latest sales £000s,Staff,Comment
1,Plan.com,http://www.plan.com,Isle of Man,Sep-17,364.38,"35,418",90,"About 650 partners use its telecoms platform to support more than 100,000 UK business customers"
2,PsiOxus,http://www.psioxus.com,Oxfordshire,Dec-17,311.67,"53,136",54,Received a $15m milestone payment from its development partner Bristol-Myers Squibb in December
3,CensorNet,http://www.censornet.com,Basingstoke,Dec-17,210.17,"7,535",77,"Has more than 4,000 customers, including McDonald’s in France and the European Central Bank"
4,thoughtonomy,http://www.thoughtonomy.com,East London,May-18,205.20,"16,916",100,It sells to 28 countries and 50% of revenue is generated from overseas
5,Perkbox,http://www.perkbox.com,Central London,Dec-17,204.12,"34,700",200,Acquired software platform Loyalty Bay for an undisclosed sum in November
6,Ogury,http://www.ogury.com,North London,Dec-17,204.09,"33,760",133,It has access to data from more than 400m mobile phone users in 120 countries
7,Verve,http://www.verve.co,Central London,Dec-17,202.15,"10,747",130,"Its network of 25,000 ‘micro-influencers’ have sold half a million event tickets since 2014"
8,goHenry,http://www.gohenry.co.uk,Central London,Dec-17,200.87,"6,116",61,The company is named after the first child to make a transaction with one of its cards
9,Darktrace,http://www.darktrace.com,Cambridge,Jun-18,195.51,"58,573",694,Was reportedly valued at $1.25bn in April when Vitruvian Partners bought a small stake
10,Bizuma,http://www.bizuma.com,Central London,Mar-18,181.75,"9,608",48,Originally founded as a flash sales website before changing direction in 2014
11,Depop,http://www.depop.com,Central London,Dec-17,175.70,"94,300",95,More than 10m people use its platform to buy and sell vintage clothing
12,Laser Wire Solutions,http://www.laserwiresolutions.com,Pontypridd,Dec-17,173.41,"5,114",26,Swiss technology group Schleuniger took a 20% stake in 2016
13,Bought By Many,http://www.boughtbymany.com,Central London,Mar-18,170.20,"19,727",78,Launched its own travel insurance policy for people with severe medical conditions in December
14,Optal,http://www.optal.com,Central London,Dec-17,169.29,"177,653",65,Uses the Mastercard processing network to facilitate payments in 34 currencies
15,Infinox,http://www.infinox.com,Central London,Mar-18,155.18,"41,700",48,Provides users with an AI-generated news feed that could affect currency trades
16,Oakbrook,http://www.oakbrookfinance.com,Nottingham,Dec-17,154.54,"40,400",98,Uses machine learning to help estimate borrowers’ credit risk
17,Carwow,http://www.carwow.co.uk,Central London,Dec-17,147.21,"15,276",127,Claims its car review videos have more viewers than the hit BBC series Top Gear
18,Receipt Bank,http://www.receipt-bank.com,Central London,Dec-17,146.07,"11,667",341,"Says 150,000 businesses in America, Europe and Australia use its book-keeping software"
19,dB Broadcast,http://www.dbbroadcast.co.uk,Cambridgeshire,Sep-17,143.58,"34,943",50,"Its key customers include Sky, YouTube, Bloomberg and the BBC"
20,The Car Buying Group,http://www.thecarbuyinggroup.co.uk,Wakefield,Mar-18,140.89,"39,140",31,Runs a free nationwide doorstep vehicle collection service
21,Festicket,http://www.festicket.com,Central London,Dec-17,139.86,"35,839",88,"Sells tickets and packages to more than 1,000 festivals worldwide"
22,Planixs,http://www.planixs.com,Manchester,Mar-17,133.70,"7,240",67,More than £200bn worth of transactions have been analysed using its systems
23,Gigaclear,http://www.gigaclear.com,Oxfordshire,Dec-17,130.17,"7,402",210,"Has connected more than 16,000 rural customers to broadband in 22 counties"
24,TransferWise,http://www.transferwise.com,East London,Mar-18,129.39,"117,283",1000,"Was valued at $1.6bn in November after it raised $280m, taking its funding total to $396m"
25,PatSnap,http://www.patsnap.com,West London,Dec-17,126.18,"17,977",752,Has raised more than $100m from investors including Sequoia and Shunwei Capital
26,Hyperoptic,http://www.hyperoptic.com,West London,Dec-17,119.90,"16,572",411,Aims to provide superfast broadband to more than 2m homes by 2022
27,GoCardless,http://www.gocardless.com,Central London,Dec-17,112.99,"11,896",165,"International expansion plans include targeting Australia, New Zealand, Canada and the US"
28,Purple,http://www.purple.ai,Oldham,Jan-18,112.88,"5,586",93,"Its technology is used in every public airport in Spain and in a 21,000-capacity stadium in Miami"
29,Trustpay Global,http://www.trustpayglobal.com,Guildford,Mar-18,110.45,"9,796",25,The Premier Lotto in Nigeria uses the company’s platform to prevent money laundering
30,iwoca,http://www.iwoca.co.uk,Central London,Dec-17,109.27,"25,000",200,Its 140 employees include three former Olympians
31,LADBible Group,http://www.theladbible.com,Manchester,Dec-17,108.91,"15,500",133,Claims its flagship brand reaches more than half of all millennials in the UK every month
32,Threads Styling,http://www.threadsstyling.com,East London,Dec-17,107.88,"12,672",55,Some three-quarters of its sales are to fashionistas in the Middle East
33,Prodigy Finance,http://www.prodigyfinance.com,Central London,Dec-17,105.94,"10,273",133,"More than 10,000 students have used its platform to fund their postgraduate studies"
34,Azimo,http://www.azimo.com,Central London,Jun-17,103.79,"5,870",115,Recently launched its international money transfer service for businesses
35,Chameleon,http://www.chameleontechnology.co.uk,Harrogate,Dec-17,101.10,"19,890",32,About 2.5m of its energy display units have been installed in UK homes
36,SuperAwesome,http://www.superawesome.tv,Central London,Dec-17,97.91,"14,935",130,"Last month it signed a deal with Pokémon Go, allowing parents to manage their child’s privacy settings"
37,Gousto,http://www.gousto.co.uk,West London,Dec-17,97.32,"23,300",400,Aims to provide the ingredients for 400m meals in UK homes by 2025
38,Vizolution,http://www.vizolution.co.uk,Swansea,Dec-17,94.99,"6,965",118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
39,MoveGB,http://www.movegb.com,Bath,Dec-17,94.93,"5,029",41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
40,BBOXX,http://www.bboxx.co.uk,West London,Dec-17,93.35,"20,416",443,Has raised almost $70m in venture funding and debt financing
41,Funding Circle,http://www.fundingcircle.com,Central London,Dec-17,93.21,"94,500",790,Is planning an IPO in London this autumn that will value it at more than £1.5bn 
42,LoopMe,http://www.loopme.com,Central London,Dec-17,93.04,"24,493",91,Says its AI technology reaches 2bn devices around the world
43,Kano,http://www.kano.me,East London,Dec-17,91.81,"13,000",60,Has customers in 150 countries and aims to have 100m global users by 2020
44,Capital on Tap,http://www.capitalontap.com,West London,Mar-18,88.73,"17,318",56,"This company’s founders also set up Paymentsense, No 91 in the league table"
45,Hutch,http://www.hutchgames.com,Central London,Sep-17,88.63,"8,766 (2017)",51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
